site.code ,onum,orchard.type,tree,avgwgt,Firmness, SSC,maturity.index,Latitude,Longitutde,elevation,Szn.Max.Avg,Szn.Min.Avg,Szn.Temp.Avg,Szn.Total.Precip,Prox.Water,Cultivation ,Herbicides,Compost/Mulching ,Mowing ,Weed Mats/Fabrics,Cover Crops ,Fire Management ,Anthracnose,European Canker ,Bullseye Rot ,Powdery mildew,Apple scab,Root Rot ,Fire Blight ,Apple Maggots ,Codling Moth ,Aphids,Tree Borer ,Cedar Apple Rust ,Bitter Rot ,Leaf Roller,Horned Caterpillars,Trhips ,Stemble ,Scale
G,11,Conventional ,5,90,22.6,12,3,38.4296,122.8479,55,73.1,44.19166667,58.65833333,26.32,1968,1,1,0,1,0,1,1,2,2,1,4,4,2,2,1,4,2,1,2,2,2,2,1,1,1
G,12,Organic ,1,79,21.5,11,3,40.28567,123.8063,72,64.025,46.20833333,55.13333333,30.82,304,1,0,0,1,0,1,0,2,2,2,2,2,2,2,2,5,2,2,2,2,1,1,1,1,1
G,12,Organic ,2,94.33333333,21.1,12,3,40.28567,123.8063,72,64.025,46.20833333,55.13333333,30.82,304,1,0,0,1,0,1,0,2,2,2,2,2,2,2,2,5,2,2,2,2,1,1,1,1,1
G,12,Organic ,3,103.6666667,22.1,9.5,3,40.28567,123.8063,72,64.025,46.20833333,55.13333333,30.82,304,1,0,0,1,0,1,0,2,2,2,2,2,2,2,2,5,2,2,2,2,1,1,1,1,1
G,12,Organic ,4,87.66666667,21.1,11,3,40.28567,123.8063,72,64.025,46.20833333,55.13333333,30.82,304,1,0,0,1,0,1,0,2,2,2,2,2,2,2,2,5,2,2,2,2,1,1,1,1,1
G,12,Organic ,5,92.66666667,21.5,10,3,40.28567,123.8063,72,64.025,46.20833333,55.13333333,30.82,304,1,0,0,1,0,1,0,2,2,2,2,2,2,2,2,5,2,2,2,2,1,1,1,1,1
H,13,Organic ,1,96,21.4,10,3,44.20901,123.3281,121,64.7,43.46666667,54.09166667,40.58,426,0,1,0,1,0,0,0,1,1,1,3,5,1,1,2,5,2,1,1,5,1,1,1,1,1
H,13,Organic ,2,73.66666667,23.2,10,3,44.20901,123.3281,121,64.7,43.46666667,54.09166667,40.58,426,0,1,0,1,0,0,0,1,1,1,3,5,1,1,2,5,2,1,1,5,1,1,1,1,1
H,13,Organic ,3,68.66666667,22.7,9.5,3,44.20901,123.3281,121,64.7,43.46666667,54.09166667,40.58,426,0,1,0,1,0,0,0,1,1,1,3,5,1,1,2,5,2,1,1,5,1,1,1,1,1
H,13,Organic ,4,95.66666667,23.9,9.5,4,44.20901,123.3281,121,64.7,43.46666667,54.09166667,40.58,426,0,1,0,1,0,0,0,1,1,1,3,5,1,1,2,5,2,1,1,5,1,1,1,1,1
H,13,Organic ,5,94.66666667,22.4,10,3,44.20901,123.3281,121,64.7,43.46666667,54.09166667,40.58,426,0,1,0,1,0,0,0,1,1,1,3,5,1,1,2,5,2,1,1,5,1,1,1,1,1
H,14,Conventional ,1,91.33333333,30.8,9.5,3,44.02257,123.0045,138,64.7,43.46666667,54.09166667,40.58,72,0,0,0,1,0,0,0,4,1,1,2,3,1,1,1,5,2,1,1,1,1,1,1,1,1
H,14,Conventional ,2,84,33.4,8.5,3,44.02257,123.0045,138,64.7,43.46666667,54.09166667,40.58,72,0,0,0,1,0,0,0,4,1,1,2,3,1,1,1,5,2,1,1,1,1,1,1,1,1
H,14,Conventional ,3,98,35.2,9.5,3,44.02257,123.0045,138,64.7,43.46666667,54.09166667,40.58,72,0,0,0,1,0,0,0,4,1,1,2,3,1,1,1,5,2,1,1,1,1,1,1,1,1
H,14,Conventional ,4,88,33.5,9,3,44.02257,123.0045,138,64.7,43.46666667,54.09166667,40.58,72,0,0,0,1,0,0,0,4,1,1,2,3,1,1,1,5,2,1,1,1,1,1,1,1,1
H,14,Conventional ,5,94,36.6,8.5,3,44.02257,123.0045,138,64.7,43.46666667,54.09166667,40.58,72,0,0,0,1,0,0,0,4,1,1,2,3,1,1,1,5,2,1,1,1,1,1,1,1,1
I,15,Conventional ,1,64.66666667,20.9,8,3,45.51143,121.5584,591,50.63333333,35.43333333,43.025,79.83,221,1,0,1,1,1,1,0,2,1,1,5,1,1,1,1,4,1,1,1,1,1,1,1,1,1
I,15,Conventional ,2,75.66666667,17.4,8,3,45.51143,121.5584,591,50.63333333,35.43333333,43.025,79.83,221,1,0,1,1,1,1,0,2,1,1,5,1,1,1,1,4,1,1,1,1,1,1,1,1,1
I,15,Conventional ,3,82.66666667,17.2,7.5,3,45.51143,121.5584,591,50.63333333,35.43333333,43.025,79.83,221,1,0,1,1,1,1,0,2,1,1,5,1,1,1,1,4,1,1,1,1,1,1,1,1,1
I,15,Conventional ,4,109,21.7,8,3,45.51143,121.5584,591,50.63333333,35.43333333,43.025,79.83,221,1,0,1,1,1,1,0,2,1,1,5,1,1,1,1,4,1,1,1,1,1,1,1,1,1
I,15,Conventional ,5,87.66666667,23.4,8,3,45.51143,121.5584,591,50.63333333,35.43333333,43.025,79.83,221,1,0,1,1,1,1,0,2,1,1,5,1,1,1,1,4,1,1,1,1,1,1,1,1,1
I,16,Organic ,1,43.33333333,21.8,9,3,45.50422,121.5893,644,50.63333333,35.43333333,43.025,79.83,98,0,1,1,0,0,0,0,1,1,1,4,2,1,3,2,3,3,2,1,1,1,1,1,1,2
I,16,Organic ,2,35,23.3,8,3,45.50422,121.5893,644,50.63333333,35.43333333,43.025,79.83,98,0,1,1,0,0,0,0,1,1,1,4,2,1,3,2,3,3,2,1,1,1,1,1,1,2
I,16,Organic ,3,47.66666667,21.1,8.5,3,45.50422,121.5893,644,50.63333333,35.43333333,43.025,79.83,98,0,1,1,0,0,0,0,1,1,1,4,2,1,3,2,3,3,2,1,1,1,1,1,1,2
I,16,Organic ,4,51.66666667,20.9,8.5,3,45.50422,121.5893,644,50.63333333,35.43333333,43.025,79.83,98,0,1,1,0,0,0,0,1,1,1,4,2,1,3,2,3,3,2,1,1,1,1,1,1,2
I,16,Organic ,5,45.33333333,19.2,9,3,45.50422,121.5893,644,50.63333333,35.43333333,43.025,79.83,98,0,1,1,0,0,0,0,1,1,1,4,2,1,3,2,3,3,2,1,1,1,1,1,1,2
L,19,Organic ,1,101,21.9,8,3,47.26603,119.9447,401,63.68333333,39.45833333,51.56666667,4.23,5226,1,0,0,0,0,0,0,1,1,1,3,1,1,1,1,1,2,1,1,,1,1,1,1,1
L,19,Organic ,2,91.66666667,27.6,10.5,3,47.26603,119.9447,401,63.68333333,39.45833333,51.56666667,4.23,5226,1,0,0,0,0,0,0,1,1,1,3,1,1,1,1,1,2,1,1,,1,1,1,1,1
L,19,Organic ,3,106.6666667,26.6,10,3,47.26603,119.9447,401,63.68333333,39.45833333,51.56666667,4.23,5226,1,0,0,0,0,0,0,1,1,1,3,1,1,1,1,1,2,1,1,,1,1,1,1,1
L,19,Organic ,4,108.6666667,30.5,9,3,47.26603,119.9447,401,63.68333333,39.45833333,51.56666667,4.23,5226,1,0,0,0,0,0,0,1,1,1,3,1,1,1,1,1,2,1,1,,1,1,1,1,1
L,19,Organic ,5,82.66666667,26.5,8.5,3,47.26603,119.9447,401,63.68333333,39.45833333,51.56666667,4.23,5226,1,0,0,0,0,0,0,1,1,1,3,1,1,1,1,1,2,1,1,,1,1,1,1,1
L,20,Conventional ,1,92,29.6,11,3,47.55188,120.2998,203,62.11666667,41.725,51.95833333,8.85,271,0,1,0,1,0,0,0,1,1,1,3,2,2,1,3,5,5,1,1,3,1,1,1,1,1
L,20,Conventional ,2,141,30,11,4,47.55188,120.2998,203,62.11666667,41.725,51.95833333,8.85,271,0,1,0,1,0,0,0,1,1,1,3,2,2,1,3,5,5,1,1,3,1,1,1,1,1
L,20,Conventional ,3,102,28.7,11.5,3,47.55188,120.2998,203,62.11666667,41.725,51.95833333,8.85,271,0,1,0,1,0,0,0,1,1,1,3,2,2,1,3,5,5,1,1,3,1,1,1,1,1
L,20,Conventional ,4,121.3333333,30.6,10,3,47.55188,120.2998,203,62.11666667,41.725,51.95833333,8.85,271,0,1,0,1,0,0,0,1,1,1,3,2,2,1,3,5,5,1,1,3,1,1,1,1,1
L,20,Conventional ,5,91.66666667,31.9,12.5,4,47.55188,120.2998,203,62.11666667,41.725,51.95833333,8.85,271,0,1,0,1,0,0,0,1,1,1,3,2,2,1,3,5,5,1,1,3,1,1,1,1,1
M,21,Organic ,1,112,28.6,9.5,4,46.97863,119.3915,390,63.68333333,39.45833333,51.56666667,4.23,5737,0,1,1,1,0,0,0,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1
M,21,Organic ,2,116,33.1,9,3,46.97863,119.3915,390,63.68333333,39.45833333,51.56666667,4.23,5737,0,1,1,1,0,0,0,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1
M,21,Organic ,3,117.3333333,30.3,8.5,4,46.97863,119.3915,390,63.68333333,39.45833333,51.56666667,4.23,5737,0,1,1,1,0,0,0,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1
M,21,Organic ,4,102,28.8,8.5,3,46.97863,119.3915,390,63.68333333,39.45833333,51.56666667,4.23,5737,0,1,1,1,0,0,0,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1
M,21,Organic ,5,137,30.7,9.5,3,46.97863,119.3915,390,63.68333333,39.45833333,51.56666667,4.23,5737,0,1,1,1,0,0,0,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1
M,22,Conventional ,1,112.3333333,25.5,8.5,3,46.97863,119.3915,390,63.68333333,39.45833333,51.56666667,4.23,5737,0,1,1,1,0,0,0,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1
M,22,Conventional ,2,111.6666667,25.8,8.5,3,46.97863,119.3915,390,63.68333333,39.45833333,51.56666667,4.23,5737,0,1,1,1,0,0,0,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1
M,22,Conventional ,3,114.6666667,27.8,8.5,3,46.97863,119.3915,390,63.68333333,39.45833333,51.56666667,4.23,5737,0,1,1,1,0,0,0,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1
M,22,Conventional ,4,126,26.9,9,3,46.97863,119.3915,390,63.68333333,39.45833333,51.56666667,4.23,5737,0,1,1,1,0,0,0,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1
M,22,Conventional ,5,121.3333333,27.3,8.5,3,46.97863,119.3915,390,63.68333333,39.45833333,51.56666667,4.23,5737,0,1,1,1,0,0,0,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1
