Date ,Orchard Name,Orchard Number ,Orchard Type ,Tree #,AVG Apple Weight (g) /3,Bag Weight,Firmness (N), SSC,AVG Color,Maturity Index ,Notes 
,Trident ,12,Organic ,3,321,10,22.1,9.5,green  ,3,
,Trident ,12,Organic ,4,272,9,21.1,11,green  ,3,
,Trident ,12,Organic ,5,288,10,21.5,10,green  ,3,
08/10,SLO,13,Organic ,1,297,9,21.4,10,"light red sides, green ",3,
,SLO,13,Organic ,2,230,9,23.2,10,"light red sides, green ",3,
,SLO,13,Organic ,3,215,9,22.7,9.5,"light red sides, green ",3,
,SLO,13,Organic ,4,296,9,23.9,9.5,"light red sides, green ",4,
,SLO,13,Organic ,5,294,10,22.4,10,"light red sides, green ",3,
08/10,Bush's ,14,Conventional ,1,283,9,30.8,9.5,green ,3,
,Bush's ,14,Conventional ,2,261,9,33.4,8.5,green ,3,
,Bush's ,14,Conventional ,3,303,9,35.2,9.5,green ,3,
,Bush's ,14,Conventional ,4,274,10,33.5,9,green ,3,
,Bush's ,14,Conventional ,5,292,10,36.6,8.5,green ,3,
08/11,McCarthy ,15,Conventional ,1,204,10,20.9,8,green ,3,
,McCarthy ,15,Conventional ,2,237,10,17.4,8,green ,3,
,McCarthy ,15,Conventional ,3,258,10,17.2,7.5,green ,3,
,McCarthy ,15,Conventional ,4,337,10,21.7,8,green ,3,
,McCarthy ,15,Conventional ,5,273,10,23.4,8,green ,3,
08/11,Mt Hood ,16,Organic ,1,141,11,21.8,9,green ,3,
,Mt Hood ,16,Organic ,2,115,10,23.3,8,green ,3,
,Mt Hood ,16,Organic ,3,153,10,21.1,8.5,green ,3,
,Mt Hood ,16,Organic ,4,165,10,20.9,8.5,green ,3,
,Mt Hood ,16,Organic ,5,146,10,19.2,9,green ,3,
08/11,Mt Adams ,17,Conventional ,1,312,10,22.7,8.5,"red sides, green sides",3,
,Mt Adams ,17,Conventional ,2,261,10,20.9,9,"red sides, green sides",3,
,Mt Adams ,17,Conventional ,3,289,11,21.3,9,"red sides, green sides",3,
,Mt Adams ,17,Conventional ,4,352,11,21.3,8.5,"red sides, green sides",3,
,Mt Adams ,17,Conventional ,5,309,11,22.6,9,"red sides, green sides",3,
08/12,Wells ,18,Conventional ,1,297,11,28.1,9,"red sides, green sides",3,
,Wells ,18,Conventional ,2,416,11,24.2,9,"red sides, green sides",4,
,Wells ,18,Conventional ,3,267,11,25.8,9.5,"red sides, green sides",3,
,Wells ,18,Conventional ,4,343,10,26.5,10.5,"red sides, green sides",3,
,Wells ,18,Conventional ,5,162/2,11,26,10.5,"red sides, green sides",4,
08/15,Pheasant Ridge ,19,Organic ,1,314,11,21.9,8,"red sides, green sides",3,
,Pheasant Ridge ,19,Organic ,2,286,11,27.6,10.5,"red sides, green sides",3,
,Pheasant Ridge ,19,Organic ,3,331,11,26.6,10,"red sides, green sides",3,
,Pheasant Ridge ,19,Organic ,4,337,11,30.5,9,"red sides, green sides",3,
,Pheasant Ridge ,19,Organic ,5,259,11,26.5,8.5,"red sides, green sides",3,
08/15,Feil Fruit ,20,Conventional ,1,287,11,29.6,11,"mostly Red, hints of green ",3,
,Feil Fruit ,20,Conventional ,2,433,10,30,11,"mostly Red, hints of green ",4,
,Feil Fruit ,20,Conventional ,3,317,11,28.7,11.5,"mostly Red, hints of green ",3,
,Feil Fruit ,20,Conventional ,4,375,11,30.6,10,"mostly Red, hints of green ",3,
,Feil Fruit ,20,Conventional ,5,286,11,31.9,12.5,"mostly Red, hints of green ",4,
08/15,Baird ,21,Organic ,1,347,11,28.6,9.5,green ,4,
,Baird ,21,Organic ,2,358,10,33.1,9,green ,3,
,Baird ,21,Organic ,3,363,11,30.3,8.5,green ,4,
,Baird ,21,Organic ,4,316,10,28.8,8.5,green ,3,
,Baird ,21,Organic ,5,422,11,30.7,9.5,green ,3,
08/15,Baird ,22,Conventional ,1,348,11,25.5,8.5,"mostly green, hints of red",3,
,Baird ,22,Conventional ,2,346,11,25.8,8.5,"mostly green, hints of red",3,
,Baird ,22,Conventional ,3,355,11,27.8,8.5,"mostly green, hints of red",3,
,Baird ,22,Conventional ,4,388,10,26.9,9,"mostly green, hints of red",3,
,Baird ,22,Conventional ,5,375,11,27.3,8.5,"mostly green, hints of red",3,
08/16,Whitestone ,23,Organic ,1,435,11,21,9,"light green, red sides",4,
,Whitestone ,23,Organic ,2,397,11,27.1,9,"light green, red sides",3,
,Whitestone ,23,Organic ,3,362,11,26.7,9.5,"light green, red sides",4,
,Whitestone ,23,Organic ,4,372,11,25.5,9.5,"light green, red sides",4,
,Whitestone ,23,Organic ,5,382,11,24.9,9.5,"light green, red sides",5,
08/17,Kettle Falls ,24,Organic ,1,137,11,31.4,9.5,"small, red",5,
,Kettle Falls ,24,Organic ,2,102,11,30.1,10.5,"small, red",5,
,Kettle Falls ,24,Organic ,3,140,11,31.9,10.5,"small, red",5,
,Kettle Falls ,24,Organic ,4,115,11,33.6,10.5,"small, red",5,
,Kettle Falls ,24,Organic ,5,139,11,30.3,11,"small, red",5,
